Timestamp,1. Which university do you study at?,2. What is your academic level?,3. What is your faculty? ,4. How familiar are you with Artificial Intelligence (AI) tools used in education? ,5. Which AI-powered tools have you used for academic purposes? ,6. How often do you use AI tools for educational purposes? ,7. For which academic activities do you use AI tools? (Select all that apply),8. Do you think AI tools improve your learning experiences? ,9. How do AI tools impact your academic performances? ,10. Do you believe AI tools help in understanding complex academic concepts? ,11. Do you think AI makes students overly dependent on technology? ,12. How do your teacher or instructors perceive AI-assisted learning? ,13. What challenges have you faced while using AI tools in education?  (Select all that apply) ,14. Do you trust the information provided by AI tools?,15. Do you feel AI-generated content lacks originality and creativity? ,16. Have you ever been discouraged from using AI tools due to ethical concerns? ,17. Do you believe AI should be integrated into the university curriculum? ,18. What improvements would you like to see in AI tools for education? (Select all that apply),"19. What support system (e.g., workshops,funding, infrastructure) are needed for effective AI adoption in your institution?",20. What is your overall opinion on the impact of AI tools in higher education? 
2/28/2025 15:10:09,PUST,Undergraduate (1st Year),Humanities and Social Science,Slightly familiar,Chatgpt,Frequently (a few times a week),Studying and exam preparation,Agree,Highly positive,Agree,Agree,Neutral,Inaccurate or misleading information,Most of the time,Agree,No,Not sure,More accuracy in responses,"I thik, al adoption is not only effective in our education but also supportive such as workshop, funding infrastructure in our Institution ",AI tools are one of the most supportive system for higher education 
2/28/2025 15:40:06,RUET,Undergraduate (4th Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini, Deepseek",Daily,"Research assistance, Writing and grammar correction, Studying and exam preparation",Agree,Somewhat positive,Agree,Strongly agree,Neutral,"Limited access, Inaccurate or misleading information",Most of the time,Neutral,No,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Improved ethical guidelines for usage",,Useful but decrease one's creativity and thinking power.
2/28/2025 17:28:03,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,Chatgpt,Rarely (Once a month or less),Writing and grammar correction,Agree,Highly positive,Agree,Agree,Neutral,Lack of knowledge about AI tools,Sometimes,Neutral,Yes,Not sure,Better understanding of context and intent,Workshops,"It is benifical for us ,, it would be good to know about it"
2/28/2025 17:57:51,PUST,Undergraduate (2nd Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini, Quillbot",Daily,"Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Somewhat positive,Agree,Agree,Neutral,Limited access,Sometimes,Neutral,Yes,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Funding,Y
2/28/2025 18:09:11,RUET,Undergraduate (4th Year),Engineering and Technology,Very familiar,"Chatgpt, Gammerly, Quillbot",Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Neutral,Somewhat positive,Agree,Agree,Discouraging and restrictive,"Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Always,Neutral,Yes,"Yes, as an elective course","Better understanding of context and intent, Stronger plagiarism detection","Workshops,funding,guidelines",It should be integrated
2/28/2025 18:14:33,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Writing and grammar correction, Creating presentations and reports",Neutral,Somewhat positive,Agree,Agree,Neutral,"Limited access, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Agree,Yes,Not sure,"Better understanding of context and intent, Improved ethical guidelines for usage",Workshop and infrastructure,"It helps in study such as solving problems, gathering knowledge, and many more."
2/28/2025 18:44:32,PUST,Undergraduate (2nd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini",Daily,"Writing and grammar correction, Programing and coding help, Creating presentations and reports",Agree,Somewhat positive,Neutral,Agree,Encouraging and supportive,"Limited access, Inaccurate or misleading information",Most of the time,Neutral,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage","Effective AI adoption requires workshops, funding, advanced infrastructure, industry collaboration, and ethical guidelines. These elements ensure proper training, research support, and responsible AI implementation.","AI tools greatly help higher education by improving learning, research, and problem-solving. They make studying easier, but students should use them wisely to build real skills."
2/28/2025 19:30:57,PUST,Undergraduate (2nd Year),Engineering and Technology,Somewhat familiar,"Chatgpt, Gemini",Frequently (a few times a week),Studying and exam preparation,Agree,Somewhat positive,Agree,Neutral,Neutral,Lack of knowledge about AI tools,Sometimes,Neutral,Yes,"Yes, as an elective course",Better understanding of context and intent,Workshop ,Not bad
2/28/2025 19:39:03,PUST,Undergraduate (2nd Year),Engineering and Technology,Somewhat familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Studying and exam preparation",Agree,Highly positive,Agree,Strongly agree,Neutral,"Limited access, Inaccurate or misleading information",Most of the time,Agree,No,"Yes, as an elective course",Better understanding of context and intent,Workshop and infrastructure ,Very impactful 
2/28/2025 20:19:08,PUST,Graduate (Master’s),Business Studies,Very familiar,Chatgpt,Frequently (a few times a week),"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Highly positive,Agree,Agree,Encouraging and supportive,"Ethical concern (e.g., plagiarism, dependency)",Sometimes,Neutral,Yes,"Yes, as an elective course",Better understanding of context and intent,Workshops ,It creates more benefits to the students 
2/28/2025 20:30:57,PUST,Undergraduate (2nd Year),Engineering and Technology,Somewhat familiar,Chatgpt,Frequently (a few times a week),Studying and exam preparation,Agree,Somewhat positive,Agree,Agree,Neutral,Limited access,Most of the time,Agree,No,Not sure,More accuracy in responses,Workshops should be prepare for supporting AI. Funding is important for improvement of AI and the function. Supportive infrastructure should made for effective AI  adoption in our educational institution. a vital role i ,AI can play a vital role in higher education. Through AI important information about research and other sector. 
2/28/2025 20:58:54,PUST,Undergraduate (2nd Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Studying and exam preparation, Creating presentations and reports",Neutral,Somewhat positive,Agree,Agree,Neutral,Lack of knowledge about AI tools,Sometimes,Neutral,No,"No, it should not be part of the curriculum",More accuracy in responses,Infrastructure ,Good but not at all
2/28/2025 21:11:50,RU,Undergraduate (4th Year),Business Studies,Slightly familiar,"Chatgpt, Gemini, Gammerly, Deepsheek",Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation",Strongly agree,Highly positive,Strongly agree,Neutral,Discouraging and restrictive,Lack of knowledge about AI tools,Most of the time,Agree,No,"Yes, as a core subject",More accuracy in responses,Experience based ,Fine
2/28/2025 21:58:17,PUST,Undergraduate (2nd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, AI-powered search engines (e.g., perplexity AI), deepseek.claude",Daily,"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports, ",Strongly agree,Highly positive,Strongly agree,Agree,Neutral,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Agree,Yes,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Improved ethical guidelines for usage",everything,it is now a badly needy part of our education system
2/28/2025 22:27:07,PUST,Undergraduate (2nd Year),Engineering and Technology,Somewhat familiar,Chatgpt,Occasionally (a fe times a month),Programing and coding help,Neutral,Neutral,Agree,Agree,Neutral,"Ethical concern (e.g., plagiarism, dependency)",Most of the time,Neutral,Yes,"Yes, as an elective course",Better understanding of context and intent,,
2/28/2025 22:53:18,PUST,Undergraduate (1st Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Somewhat positive,Strongly agree,Agree,Neutral,Lack of knowledge about AI tools,Most of the time,Disagree,No,"Yes, as an elective course",Better understanding of context and intent,,
2/28/2025 23:02:05,PUST,Undergraduate (1st Year),Engineering and Technology,Somewhat familiar,"Chatgpt, Deepseek, perplexity",Frequently (a few times a week),"Writing and grammar correction, Making lab report and assignment",Strongly agree,Highly positive,Strongly agree,Disagree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools",Sometimes,Neutral,No,"Yes, as a core subject",More accuracy in responses,Trained teacher,It is needed in study 
2/28/2025 23:03:14,PUST,Undergraduate (2nd Year),Engineering and Technology,Very familiar,"Chatgpt, Gammerly",Daily,"Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Neutral,Agree,Strongly agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Neutral,No,"Yes, as an elective course","Better understanding of context and intent, Stronger plagiarism detection",,
2/28/2025 23:09:51,PUST,Undergraduate (1st Year),Engineering and Technology,Very familiar,"Chatgpt, AI-powered search engines (e.g., perplexity AI)",Daily,"Programing and coding help, Studying and exam preparation",Strongly agree,Highly positive,Strongly agree,Agree,Encouraging and supportive,"Limited access, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Neutral,No,"Yes, as a core subject",More accuracy in responses,,
2/28/2025 23:11:42,PUST,Undergraduate (1st Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, Gammerly, AI-powered search engines (e.g., perplexity AI)",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Highly negative,Agree,Strongly agree,Encouraging and supportive,"Ethical concern (e.g., plagiarism, dependency)",Sometimes,Neutral,No,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Every support ,"Helpful,  but not dependable "
2/28/2025 23:12:55,PUST,Undergraduate (1st Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini",Daily,"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Strongly agree,Encouraging and supportive,Limited access,Most of the time,Neutral,No,"Yes, as a core subject",More accuracy in responses,Proper guidelines ,Its very helpful
2/28/2025 23:32:57,PUST,Undergraduate (1st Year),Engineering and Technology,Not familiar at all,"Chatgpt, Gemini, ",Daily,"Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,Limited access,Most of the time,Strongly disagree,Yes,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Improved ethical guidelines for usage",Workshop ,I don't know.But i have 50/50 choice 
2/28/2025 23:49:21,RU,Undergraduate (3rd Year),Business Studies,Very familiar,"Chatgpt, Turnitin",Occasionally (a fe times a month),"Writing and grammar correction, Studying and exam preparation",Neutral,Somewhat positive,Agree,Neutral,Neutral,"Limited access, Lack of knowledge about AI tools",Sometimes,Neutral,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
2/28/2025 23:56:06,RU,Undergraduate (4th Year),Science,Very familiar,Chatgpt,Frequently (a few times a week),Studying and exam preparation,Strongly agree,Highly positive,Strongly agree,Agree,Not sure,Limited access,Sometimes,Agree,No,"No, it should not be part of the curriculum",Stronger plagiarism detection,,
3/1/2025 9:10:37,PUST,Undergraduate (2nd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini",Daily,"Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools",Most of the time,Neutral,No,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Workshop ,It's very helpful to increased our skill 
3/1/2025 11:37:17,RUET,Postgraduate (PhD),Engineering and Technology,Very familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Neutral,Neutral,Neutral,Neutral,Neutral,"Ethical concern (e.g., plagiarism, dependency)",Always,Neutral,Yes,"No, it should not be part of the curriculum","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
3/1/2025 13:53:58,RUET,Undergraduate (2nd Year),Science,Very familiar,Gammerly,Frequently (a few times a week),Research assistance,Agree,Somewhat positive,Strongly agree,Agree,Encouraging and supportive,Limited access,Rarely,Strongly agree,Yes,"Yes, as an elective course",More accuracy in responses,Workshops,Impactful 
3/1/2025 17:18:53,RUET,Undergraduate (3rd Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Research assistance, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,"Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Disagree,No,"No, it should not be part of the curriculum","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
3/1/2025 17:20:50,RUET,Undergraduate (3rd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, AI-powered search engines (e.g., perplexity AI)",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,Inaccurate or misleading information,Sometimes,Agree,No,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection",,
3/1/2025 17:21:36,RUET,Undergraduate (3rd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini",Frequently (a few times a week),Research assistance,Agree,Somewhat positive,Agree,Agree,Encouraging and supportive,Limited access,Most of the time,Neutral,No,"Yes, as an elective course",Better understanding of context and intent,,
3/1/2025 17:26:09,RUET,Undergraduate (3rd Year),Engineering and Technology,Not familiar at all,Chatgpt,Never,Writing and grammar correction,Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,Limited access,Always,Strongly agree,,"Yes, as a core subject",Better understanding of context and intent,,N
3/1/2025 17:27:11,RUET,Undergraduate (3rd Year),Civil Engineering ,Extremely familiar,Chatgpt,Daily,"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Not sure,Limited access,Most of the time,Agree,No,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent",Funding,Appreciable 
3/1/2025 17:28:25,RUET,Undergraduate (3rd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, Gammerly, Quillbot, AI-powered search engines (e.g., perplexity AI)",Daily,"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Highly positive,Strongly agree,Neutral,Encouraging and supportive,Limited access,Most of the time,Disagree,No,"Yes, as a core subject",More accuracy in responses,,
3/1/2025 17:47:16,RUET,Undergraduate (3rd Year),Engineering and Technology,Slightly familiar,Chatgpt,Rarely (Once a month or less),Creating presentations and reports,Neutral,Neutral,Neutral,Agree,Not sure,"Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Sometimes,Agree,No,"Yes, as an elective course",More accuracy in responses,Workshop and infrastructure,Should be limited for students
3/1/2025 17:49:30,RUET,Undergraduate (3rd Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini",Occasionally (a fe times a month),Studying and exam preparation,Agree,Highly positive,Agree,Agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools",Most of the time,Neutral,Yes,Not sure,"More accuracy in responses, Better understanding of context and intent","Funding, infrastructure ",AI is nowadays very important factor for higher education as it is a great source of knowledge and important information 
3/1/2025 17:52:39,RUET,Undergraduate (3rd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini",Frequently (a few times a week),Studying and exam preparation,Agree,Somewhat positive,Agree,Agree,Neutral,Limited access,Rarely,Neutral,Yes,"Yes, as a core subject",More accuracy in responses,,
3/1/2025 18:47:17,RUET,Undergraduate (3rd Year),Engineering and Technology,Very familiar,"Chatgpt, Gammerly, Quillbot, AI-powered search engines (e.g., perplexity AI)",Occasionally (a fe times a month),"Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools, Inaccurate or misleading information",Sometimes,Disagree,Yes,"No, it should not be part of the curriculum","More accuracy in responses, Better understanding of context and intent",Funding ,Positive
3/1/2025 18:51:05,RUET,Undergraduate (3rd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini",Occasionally (a fe times a month),"Research assistance, Creating presentations and reports",Agree,Somewhat positive,Neutral,Agree,Neutral,Limited access,Sometimes,Disagree,No,"Yes, as a core subject","More accuracy in responses, Stronger plagiarism detection",,
3/1/2025 22:58:41,RU,Undergraduate (4th Year),Engineering and Technology,Slightly familiar,"Chatgpt, Quillbot",Occasionally (a few times a month),"Research assistance, Writing and grammar correction, Programing and coding help",Agree,Somewhat positive,Agree,Agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Sometimes,Agree,Yes,Not sure,"Better understanding of context and intent, Stronger plagiarism detection","Effective AI adoption in an institution requires a well-rounded support system, including: 1.Workshops & Training 2.Funding & Grants etc.. "," AI is a powerful tool that, when implemented thoughtfully, enhances learning, research, and efficiency in higher education. However, careful governance, ethical considerations, and equitable access are essential to ensure its benefits are maximized without unintended consequences."
3/1/2025 23:21:02,PUST,Undergraduate (2nd Year),Engineering and Technology,Slightly familiar,Chatgpt,Rarely (Once a month or less),Studying and exam preparation,Agree,Somewhat positive,Agree,Strongly agree,Neutral,Inaccurate or misleading information,Most of the time,Agree,No,"Yes, as an elective course",Better understanding of context and intent,,
3/1/2025 23:22:01,RUET,Undergraduate (3rd Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, Gammerly, Turnitin, Quillbot",Daily,"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Strongly agree,Highly positive,Agree,Agree,Neutral,"Limited access, Inaccurate or misleading information",Most of the time,Agree,Yes,"No, it should not be part of the curriculum","More accuracy in responses, Better understanding of context and intent",Proper access of premium services,Positive impact 
3/2/2025 5:10:56,RUET,Undergraduate (3rd Year),Engineering and Technology,Extremely familiar,"Chatgpt, Gemini",Daily,"Research assistance, Studying and exam preparation",Strongly agree,Highly positive,Neutral,Agree,Neutral,"Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Agree,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
3/2/2025 13:43:53,PUST,Undergraduate (1st Year),Engineering and Technology,Somewhat familiar,"Chatgpt, Gemini, ",Daily,"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Neutral,Yes,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent",Included AI as a core subject ,It's quite helpful 
3/2/2025 18:57:46,RU,Undergraduate (4th Year),Business Studies,Extremely familiar,"Chatgpt, Gemini, AI-powered search engines (e.g., perplexity AI)",Frequently (a few times a week),"Research assistance, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,Inaccurate or misleading information,Always,Neutral,No,"Yes, as a core subject",More accuracy in responses,"In the evolving digital landscape, organizations and leaders face increasing pressure to adopt and effectively utilize artificial intelligence (AI), which is steadily entering the management, work, and organizational ecosystems and enabling digital transformations. We observe AI-based applications assisting employees in daily tasks, project management, decision-making, and collaboration. But the successful adoption of AI is a complex and multifaceted process that requires careful consideration of various factors. What are the specific factors affecting the full adoption of AI from a multilevel viewpoint? This article presents a framework-based checklist concerning technology, organizations, and people (TOP) designed to assist digital leaders in navigating the challenges associated with AI adoption. Drawing upon extensive research and industry insights, this checklist provides digital leaders with a comprehensive tool to assess and address critical considerations during the adoption of AI. By systematically evaluating the technology, organization, and people dimensions, organizations and digital leaders can enhance their chances of a successful digital transformation and gain a competitive advantage in the digital age.","AI tools have the potential to significantly enhance higher education by personalizing learning experiences, providing instant feedback, automating administrative tasks, and making learning more accessible, but their effective implementation requires careful consideration of ethical concerns and potential issues like student reliance and bias in algorithms, ultimately leading to a positive impact when used responsibly and strategically. "
3/2/2025 22:36:19,PUST,Undergraduate (4th Year),Engineering and Technology,Extremely familiar,Chatgpt,Frequently (a few times a week),"Research assistance, Writing and grammar correction, Studying and exam preparation",Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,Limited access,Always,Strongly disagree,Yes,"Yes, as an elective course",More accuracy in responses,Easily available ,Very efficient 
3/3/2025 14:37:52,RU,Graduate (Master’s),Business Studies,Somewhat familiar,"Chatgpt, Gemini, Gammerly",Occasionally (a few times a month),"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,"Limited access, Lack of knowledge about AI tools",Most of the time,Agree,No,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent",All,"AI tools have the potential to significantly enhance higher education by personalizing learning, improving efficiency, and providing data-driven insights. "
3/3/2025 15:44:47,PUST,Undergraduate (1st Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini",Occasionally (a few times a month),Creating presentations and reports,Agree,Somewhat positive,Agree,Neutral,,,,,,,,,
3/4/2025 0:10:24,RU,Undergraduate (4th Year),Science,Slightly familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Research assistance, Studying and exam preparation",Agree,Somewhat positive,Agree,Agree,Neutral,Lack of knowledge about AI tools,Most of the time,Neutral,No,"No, it should not be part of the curriculum","More accuracy in responses, Better understanding of context and intent",,
3/4/2025 0:47:31,RU,Undergraduate (4th Year),Business Studies,Very familiar,Chatgpt,Occasionally (a few times a month),"Studying and exam preparation, Creating presentations and reports",Neutral,Neutral,Neutral,Strongly agree,Neutral,Limited access,Sometimes,Strongly agree,No,"Yes, as an elective course",Improved ethical guidelines for usage,,
3/4/2025 4:40:43,RU,Undergraduate (4th Year),Business Studies,Very familiar,"Chatgpt, Gemini",Occasionally (a few times a month),"Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Not sure,Inaccurate or misleading information,Always,Neutral,Yes,Not sure,"More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Workshop ,It's a useful system 
3/4/2025 12:16:12,RU,Undergraduate (3rd Year),Business Studies,Slightly familiar,"Chatgpt, Gemini",Occasionally (a few times a month),"Studying and exam preparation, Creating presentations and reports",Neutral,Somewhat positive,Agree,Agree,Encouraging and supportive,"Ethical concern (e.g., plagiarism, dependency)",Most of the time,Agree,Yes,"Yes, as an elective course",Better understanding of context and intent,"For effective AI adoption in higher education, a strong support system is essential. Here are key areas that institutions should focus on:  1. Faculty & Student Training  Workshops & Seminars – Regular training sessions to help faculty and students understand AI tools and ethical use.  AI Literacy Programs – Courses on AI fundamentals, applications, and responsible usage for all disciplines.  Faculty Fellowships – Incentives for educators to integrate AI into their teaching and research.   2. Infrastructure & Technology  AI-Enabled Learning Management Systems (LMS) – Integration of AI tools into platforms like Moodle, Canvas, or Blackboard.  Computational Resources – Access to high-performance computing, cloud services, and AI research labs.  AI-Powered Accessibility Tools – Speech-to-text, real-time translation, and adaptive learning technologies.","AI tools have the potential to significantly enhance higher education, but their impact depends on how they are integrated. Here are some key points:  Positive Impacts  1. Personalized Learning – AI can adapt to individual student needs, offering tailored feedback and recommendations.   2. Efficiency for Educators – AI automates administrative tasks like grading and student monitoring, freeing up faculty for more meaningful interactions.   3. Access & Inclusion – AI-powered tools (e.g., translation, speech-to-text, and accessibility features) help students with disabilities and language barriers. "
3/5/2025 9:37:15,RU,Undergraduate (4th Year),Business Studies,Not familiar at all,"Chatgpt, Gemini",Rarely (Once a month or less),"Writing and grammar correction, Studying and exam preparation",Agree,Somewhat positive,Agree,Strongly disagree,Discouraging and restrictive,"Ethical concern (e.g., plagiarism, dependency)",Sometimes,Agree,Yes,"Yes, as an elective course",Better understanding of context and intent,funding ,very good
3/9/2025 21:28:42,RU,Undergraduate (3rd Year),Business Studies,Not familiar at all,Chatgpt,Frequently (a few times a week),Studying and exam preparation,Agree,Somewhat positive,Agree,Agree,Neutral,"Ethical concern (e.g., plagiarism, dependency)",Most of the time,Disagree,No,"Yes, as an elective course",Better understanding of context and intent,,so positive 
3/10/2025 1:41:59,RU,Undergraduate (3rd Year),Business Studies,Somewhat familiar,"Chatgpt, Quillbot",Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation",Agree,Somewhat positive,Agree,Strongly agree,Neutral,"Ethical concern (e.g., plagiarism, dependency)",Sometimes,Strongly agree,No,"Yes, as an elective course",Better understanding of context and intent,,"It's a very useful tool. But overly dependency on it lacks the the potentially of its users in further future.  In essence,  we should use it in a calculative way."
3/13/2025 14:52:21,RU,Undergraduate (3rd Year),Business Studies,Slightly familiar,Chatgpt,Occasionally (a few times a month),"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Neutral,Strongly agree,Strongly agree,Encouraging and supportive,Limited access,Sometimes,Neutral,No,Not sure,"More accuracy in responses, Better understanding of context and intent",Infrastructure ,Good
3/13/2025 15:07:44,RU,Undergraduate (4th Year),Business Studies,Very familiar,Chatgpt,Daily,Studying and exam preparation,Agree,Somewhat positive,Neutral,Strongly agree,Discouraging and restrictive,"Limited access, Inaccurate or misleading information",Most of the time,Agree,No,"Yes, as an elective course",More accuracy in responses,Workshop ,Good
3/14/2025 14:54:34,PUST,Undergraduate (4th Year),Humanities and Social Science,Very familiar,"Chatgpt, Copilot ",Frequently (a few times a week),Studying and exam preparation,Agree,Somewhat positive,Agree,Strongly agree,Neutral,Inaccurate or misleading information,Most of the time,Neutral,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Infrastructure ,Dangerous and useful at the same time.
3/14/2025 15:24:25,RU,Graduate (Master’s),Humanities and Social Science,Somewhat familiar,Chatgpt,Occasionally (a few times a month),Studying and exam preparation,Neutral,Somewhat positive,Agree,Agree,Neutral,"Ethical concern (e.g., plagiarism, dependency)",Most of the time,Agree,Yes,"No, it should not be part of the curriculum","Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
3/15/2025 0:55:03,RU,Graduate (Master’s),Science,Slightly familiar,Chatgpt,Frequently (a few times a week),Creating presentations and reports,Strongly agree,Highly positive,Neutral,Strongly agree,Encouraging and supportive,Lack of knowledge about AI tools,Sometimes,Neutral,No,"Yes, as a core subject",More accuracy in responses,Workshops,Good
3/19/2025 2:20:44,RU,Graduate (Master’s),Business Studies,Very familiar,"Chatgpt, Gemini, Gammerly",Occasionally (a few times a month),Research assistance,Strongly agree,Highly positive,Agree,Agree,Neutral,"Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Neutral,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent",Workshop,Very useful 
3/20/2025 13:12:08,RU,Undergraduate (4th Year),Business Studies,Extremely familiar,"Chatgpt, Gammerly, AI-powered search engines (e.g., perplexity AI)",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Highly positive,Agree,Agree,Neutral,"Limited access, Lack of knowledge about AI tools",Most of the time,Disagree,No,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
3/20/2025 14:15:15,RU,Undergraduate (4th Year),Engineering and Technology,Somewhat familiar,"Chatgpt, Turnitin, Quillbot",Occasionally (a few times a month),"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,Lack of knowledge about AI tools,Most of the time,Neutral,Yes,"Yes, as an elective course",Better understanding of context and intent,,
